Prompt,gold_label
"Post processing of AM includes remove Supports, Improve Properties, and Finish Part.",true
"Heat treatment, homogenization treatment, and quenching is used to improve properties of AM part.",true
Heat Treating Machine is used in the qualification phase of the AM process.,false
Chipping tools are used to remove the Cooled built Part from the build platform during AM process.,true
Cutting tools are used to remove support.,true
Heat Treatment is a part of the Pre-process Operations of AM process.,false
Heat treatment process is done before remove the supports  during AM process,false
Homogenization is done after hardening and quenching treatment during AM process.,false
The Oil Tank is used to perform the hardening and quenching treatment on the AM part.,true
Sand blasting and polishing procedure are done to finish the AM parts.,true
CNC Milling Machine is used for machining operation of the AM process.,true
Cool down part is done during the qualification phase of the AM process.,false
Which operation is done first during AM post-processing phase? 1) machining and grinding 2) hardening and quenching treatment.,hardening and quenching treatment
Which operation is done first during AM post-processing phase? 1)machining 2) polishing,machining 
Which action is done first during AM post-processing phase? 1)Remove AM part from the chamber 2) remove support,Remove part from the chamber
Which tool is used to remove support from the part? 1) Chipping tools 2) Cutting tools ,Cutting tools 
Which operation is used to enhance the part properties? 1) heat treating and sintering 2) grinding,heat treating and sintering
Why is Support used for AM printing 1) to printing overhung 2) improve quality,to printing overhung
Provide some part properties enhancement methods used in AM? ,"heat treating, machining, polishing, shot peening, homogenization, hardening, and quenching."
Write some post-processing equipment's used in AM process? ,"CNC Milling Machine, Polishing Equipment, Heat Treating Machine, and Chipping Tools."
What is HIP? ,HIP is a manufacturing process used to reduce the porosity of metals and increase the density of many ceramic materials. Heat treatment will enhance the part to reach the required microstructure and mechanical properties.
Why machining Operation is done during the AM process? ,"dimensional accuracy, metallurgical qualities-part properties, and surface quality"
