Prompt,gold_label
Optimize Shape is the first step for generating AM design.,FALSE
Optimize Shape activity is done after Tessellate Model,FALSE
Tessellated Model can be stored ASCII format.,FALSE
"The surfaces of a water-tight manifold model are fully closed and free of voids, cracks, and defects for AM design.",TRUE
Repair Tessellated Model can be  have some errors related to topology and geometry.,FALSE
CAD model and STL model are same,FALSE
"Design Specification defines geometry, dimensions, and tolerances.",TRUE
Repaired Tessellated Model action is done after modify Tessellated Model ,FALSE
STL file consist of unordered collection of triangle vertices and surface normal vectors.,TRUE
The unordered collection of triangle vertices and surface normal vectors of STL file may cause voids and cracks.,TRUE
"A lattice structure can be used for noise cancellation, weight reduction, etc.",TRUE
Lattice can be used as a support for parts with internal hollow volume and overhang feature,TRUE
CAD model generation is discussed in which section? 1) generate AM design 2) Machine independent process planning,generate AM design 
Tessellated Model is stored in which format? 1) binary 2) AMF,AMF
Which is most advanced data file format for AM? 1)AMF 2)STL ,AMF
What is the use of lattice structure for AM? 1) weight reduction of AM part 2) weight gain of AM part,"noise-cancellation, weight reduction"
Which model is consist of unordered collection of triangle vertices and surface normal vectors? 1) AMF 2) STL,STL
Which is used as a CAD software? 1) ProE 2) Inkspace,ProE
Write the difference of CAD model and STL model? ,Tessellated Model is a file in STL file format which describes the external closed surfaces of the original CAD Model.
Provide some name of CAD software? ,"Solidworks, AUtoCAd, ProE"
