Prompt,gold_label
Ozawa Method is used to measure the electrical properties of the AM part.,FALSE
Tolerance measurement is done before surface roughness measurement during AM part qualification. ,TRUE
CT-Scan and Neutron Imaging techniques are used to measure porosity and cracks.,TRUE
"Method E1876 is a standard test for Dynamic Young's Modulus, Shear Modulus, and Poisson's Ratio by Impulse Excitation of Vibration.",TRUE
Method E1382 is used for Determining Average Grain Size.,FALSE
Electron Backscatter Diffraction is used to measure microstructural properties of metal AM part.,TRUE
Method E466 is used for Creep-Fatigue Testing.,FALSE
ASTM E399 is a quality test method for linear-elastic plane-strain fracture toughness.,TRUE
Method E1457 is used for creep-fatigue crack growth.,FALSE
Hardness is considered as electrical properties of metal AM process.,FALSE
Hardness measure is done before measuring fatigue strength and life.,TRUE
What does Method E1457 measure? 1)creep crack growth 2)creep-fatigue crack growth,creep crack growth 
What does Method E1820 measure? 1) fracture toughness. 2) Linear-Elastic Plane-Strain Fracture Toughness,fracture toughness
What does Method  E2714 measure? 1) Creep-Fatigue 2) Constant Amplitude Fatigue.,Creep-Fatigue 
What does Method  E8 measure? 1) Tension Testing 2) Poisson's Ratio ,Tension Testing 
What does Method  E2019 measure? 1) Temperature Limit of Flammability of Chemicals 2) Minimum Ignition Energy of a Dust Cloud in Air,Minimum Ignition Energy of a Dust Cloud in Air.
What does Method B500/B500M measure? 1) Direct Current Magnetic Properties of Soft Magnetic Materials Using D-C Permeameters. 2) Metallic Coated or Aluminum Clad Stranded Steel Core for Use in Overhead Electrical Conductors. ,Metallic Coated or Aluminum Clad Stranded Steel Core for Use in Overhead Electrical Conductors.
Which properties are considered as mechanical properties? 1)Tensile strength and  compression strength 2) Grain size and morphology ,Tensile strength and compression strength
Which method is used to measure the thermal properties of the AM part? 1) CT Scanning 2) Interferometry,Interferometry
Which method is used to measure the electrical properties of the AM part? 1) Wattmeter Method  2) X-Ray Scanning Electron Microscope ,Wattmeter Method
Which property is measured during the AM part qualification phase? 1) magnetic 2) microstructure,microstructure
What properties are measured during the AM part qualification? ,"mechanical, microstructural, electrical, chemical, thermal or optical properties"
List some instruments used for measuring external tolerances? ,"CMM, X-ray CT Scanner, Gages, Profiles, and Calipers."
Provide examples of microstructure properties measured during the additive manufacturing (AM) process? ,"Grain size, morphology and growth and direction."
What methods are used to measure microstructural properties of metal AM part? ,"X-Ray Scanning Electron Microscope, CT Scanning, and Electron Backscatter Diffraction"
Provide examples of hardness measurements conducted during the metal additive manufacturing (AM) process? ,"Rockwell hardness, Brinell hardness, Vickers hardness, and Knoop hardness."
What methods are used to measure the thermal properties during AM process? ,"Differential Scanning Calorimetry, Interferometry, and the Flynn/Wall/Ozawa Method."
