Prompt,gold_label
Multi-sensor data fusion is used in detecting defects in WAAM.,TRUE
In-situ monitoring is not used in Additive Manufacturing for defect detection.,FALSE
"Researchers use different monitoring sensors like vision, thermal and acoustic sensors to monitor the printing process.",TRUE
"For powder bed fusion (PBF), the machine components are the powder Container, Build Plate, Recoater Arm, and CNC Controller.",TRUE
"Heating, melting, solidification and cooling are done during printing process.",TRUE
"Melting process during the printing involves transforming the solid particles into liquid, and then letting them solidify again.",TRUE
The rapid solidification and cooling during the AM part building does not affect the printing quality for AM process.,FALSE
"The rapid solidification and cooling cause geometric distortion, peeling, and warping due to thermal stresses",TRUE
Microstructure is considered as chemical properties of the final component.,FALSE
Melt Pool Size does not affect the metallurgical quality of the printed part.,FALSE
"Thermal Sensors, Porosity Sensors, CMM, CT Scanner are considered as motoring equipment's during the AM process.",TRUE
Defects can not be identified during the printing process.,FALSE
AM Machine Codes provides the toolpath information used for the build AM part.,TRUE
Defects such as gas porosity and lack-of-fusion are not significant issues in AM.,FALSE
Traditional methods for defect characterization in AM are primarily in-situ.,FALSE
"What is the role of the AMMT in AM process monitoring?
A) To develop new AM technologies
B) To provide process monitoring datasets",To provide process monitoring datasets
"What is the primary barrier for the wide application of L-PBF beyond rapid prototyping?
A) Cost of equipment
B) Lack of quality assurance", Lack of quality assurance
Which defect can occur during the rapid solidification and cooling of the AM part building? 1) porosity 2) distortion,distortion
Which activity is done first during the PFB process? 1) Fuse Powders 2) Create Powder Layer,Create Powder Layer
Which activity is done first for PBF ? 1) Move Powder Container Up 2) Move Recoater Arm,Move Powder Container Up 
" What is used for monitoring during Laser Directed Energy Deposition?
A) Only Acoustic Emission
B) Acoustic Emission and Optical Emission Spectroscopy",Acoustic Emission and Optical Emission Spectroscopy
"What technique is used to improve the quality of WAAM builds?
A) Single-sensor data fusion
B) Multi-sensor data fusion",Multi-sensor data fusion
How is monitoring done during Laser Directed Energy Deposition?,Monitoring is done using Acoustic Emission and Optical Emission Spectroscopy with Artificial Intelligence 
What are some common defects that occur in WAAM?,Common defects include lack of fusion
What is the benefit of using Artificial Intelligence in monitoring and controlling additive manufacturing?,Artificial Intelligence enables intelligent sensing and automated control for improved quality and defect detection
What types of defects can occur during the metal printing process? ,"Porosity, cracks, residual stress, geometric inaccuracy etc"
Give different sensors example that are used to monitor the printing process? ,"Vision , thermal, acoustic ,NDE Scanning Electron Microscope (SEM) etc."
What is partial and full melting for PBF? ,"Partial melting is a liquid matrix is established to selectively bind solid particles; while in full melting, powder is heated up above its melting point to result in a fully-dense material."
"For PBF, provide some examples of  factors that influence the metallurgical quality of the Workpiece? ","Laser Power, Scan Speed, Scan Overlap, Material Type, Chemical Composition, Geometry, Layer Thickness, Build Chamber Environment, Melt Pool Size, Melt Pool Temperature."
What is the meaning of microstructure? ,phases and grain morphology
