Prompt,gold_label
Optimize Shape is the first step for generating AM design.,FALSE
The cost estimation process in 3D printing is a simple and straightforward process.,FALSE
Tessellated Model can be stored ASCII format.,FALSE
"The surfaces of a water-tight manifold model are fully closed and free of voids, cracks, and defects for AM design.",TRUE
The G-code file is generated before the STL model.,FALSE
CAD model and STL model are same,FALSE
"Design Specification defines geometry, dimensions, and tolerances.",TRUE
The design workflow should include a final Check to evaluate the overall 3D printing project.,TRUE
STL file consist of unordered collection of triangle vertices and surface normal vectors.,TRUE
The unordered collection of triangle vertices and surface normal vectors of STL file may cause voids and cracks.,TRUE
"A lattice structure can be used for noise cancellation, weight reduction, etc.",TRUE
Lattice can be used as a support for parts with internal hollow volume and overhang feature,TRUE
The Knowledge Base (KB) is not a part of the design framework.,FALSE
The Knowledge Base (KB) is a tool for collecting and disseminating knowledge related to AM process and design.,TRUE
What is generated after the project passes the final Check? 1)STL model 2) G-code file,G-code file
"What is the purpose of the design workflow's final Check? 1)To evaluate the part's geometry 2)  To analyze the manufacturing constraints, tolerances, and target cost","To analyze the manufacturing constraints, tolerances, and target cost"
What is the purpose of the interactive approach in DfAM? 1)To reduce design time 2) To improve user experience and design phases,
"What affects the cost estimation process in 3D printing? 1) Only materials used for parts
2) Multiple factors, including materials, printing time, and energy consumption","Multiple factors, including materials, printing time, and energy consumption"
CAD model generation is discussed in which section? 1) generate AM design 2) Machine independent process planning,generate AM design 
Tessellated Model is stored in which format? 1) binary 2) AMF,AMF
Which is most advanced data file format for AM? 1)AMF 2)STL ,AMF
What is the use of lattice structure for AM? 1) weight reduction of AM part 2) weight gain of AM part,weight reduction
Which model is consist of unordered collection of triangle vertices and surface normal vectors? 1) AMF 2) STL,STL
Which is used as a CAD software? 1) ProE 2) Inkspace,ProE
What is the purpose of supports in additive manufacturing?,To prevent the collapse of molten metal inside the powder bed
Describe the significance of the interactive approach in DfAM.,The interactive approach in DfAM improves the user experience and allows data and information to be easily implemented into the design platform.
Write the difference of CAD model and STL model? , STL file format describes the external closed surfaces of the original CAD Model.
Provide some name of CAD software? ,"Solidworks, AUtoCAd, ProE"
