Prompt,gold_label
Ozawa method is used to measure the electrical properties of AM parts.,FALSE
Tolerance measurement is done before surface roughness measurement during the qualification phase. ,TRUE
CT-scan and neutron imaging techniques are used to measure porosity and cracks.,TRUE
"ASTM E1876 is a standard test method for dynamic young's modulus, shear modulus, and poisson's ratio by impulse excitation of vibration.",TRUE
ASTM E1382 is used for determining average grain size.,TRUE
Electron backscatter diffraction is used to measure microstructural properties of AM parts.,TRUE
ASTM E466 is used for creep-fatigue testing.,FALSE
ASTM E399 is a quality test method for linear-elastic plane-strain fracture toughness.,TRUE
ASTM E1457 is used for creep-fatigue crack growth.,FALSE
Hardness is considered as electrical properties.,FALSE
Hardness is measured before measuring fatigue strength and life.,TRUE
Conventional hand-crafted features for quality identification are not costly.,FALSE
Layer misalignment is a quality issue.,TRUE
