Image Name,Response
frame_000003.bmp,Good
frame_000004.bmp,Good
frame_000005.bmp,Good
frame_000007.bmp,Bad
frame_000008.bmp,Bad
frame_000011.bmp,Good
frame_000012.bmp,Good
frame_000013.bmp,Good
frame_000014.bmp,Bad
frame_000015.bmp,Bad
frame_000016.bmp,Bad
frame_000017.bmp,Bad
frame_000018.bmp,Bad
frame_000019.bmp,Bad
frame_000020.bmp,Bad
frame_000021.bmp,Bad
frame_000022.bmp,Good
frame_000023.bmp,Bad
frame_000024.bmp,Good
frame_000025.bmp,Good
frame_000026.bmp,Bad
frame_000027.bmp,Good
frame_000028.bmp,Good
frame_000029.bmp,Good
frame_000030.bmp,Bad
frame_000031.bmp,Good
frame_000032.bmp,Good
frame_000033.bmp,Bad
frame_000034.bmp,Good
frame_000035.bmp,Bad
frame_000036.bmp,Bad
frame_000037.bmp,Bad
frame_000038.bmp,Good
frame_000039.bmp,Bad
frame_000040.bmp,Bad
frame_000041.bmp,Bad
frame_000042.bmp,Good
frame_000043.bmp,Good
frame_000044.bmp,Good
frame_000045.bmp,Good
frame_000046.bmp,Good
frame_000047.bmp,Bad
frame_000048.bmp,Good
frame_000049.bmp,Bad
frame_000050.bmp,Good
frame_000051.bmp,Bad
frame_000052.bmp,Good
frame_000170.bmp,Bad
frame_000171.bmp,Bad
frame_000173.bmp,Bad
frame_000174.bmp,Bad
frame_000175.bmp,Bad
frame_000176.bmp,Bad
frame_000177.bmp,Bad
frame_000178.bmp,Bad
frame_000179.bmp,Bad
frame_000180.bmp,Bad
frame_000181.bmp,Bad
frame_000182.bmp,Bad
frame_000183.bmp,Bad
frame_000184.bmp,Good
frame_000185.bmp,Bad
frame_000186.bmp,Bad
frame_000187.bmp,Good
frame_000188.bmp,Bad
frame_000189.bmp,Bad
frame_000201.bmp,Bad
frame_000202.bmp,Bad
frame_000203.bmp,Bad
frame_000204.bmp,Bad
frame_000205.bmp,Good
frame_000206.bmp,Bad
frame_000207.bmp,Bad
frame_000209.bmp,Bad
frame_000210.bmp,Bad
frame_000211.bmp,Bad
frame_000212.bmp,Bad
frame_000213.bmp,Bad
frame_000214.bmp,Bad
frame_000215.bmp,Bad
frame_000216.bmp,Bad
frame_000217.bmp,Good
frame_000218.bmp,Bad
frame_000219.bmp,Good
frame_000220.bmp,Good
frame_000221.bmp,Good
frame_000248.bmp,Bad
frame_000249.bmp,Bad
frame_000250.bmp,Bad
frame_000251.bmp,Bad
frame_000252.bmp,Bad
frame_000253.bmp,Bad
frame_000254.bmp,Bad
frame_000255.bmp,Bad
frame_000256.bmp,Bad
frame_000257.bmp,Good
frame_000258.bmp,Good
frame_000259.bmp,Bad
frame_000260.bmp,Bad
frame_000261.bmp,Good
frame_000262.bmp,Bad
frame_000263.bmp,Bad
frame_000264.bmp,Good
frame_000265.bmp,Good
