Question,Gold Label,Generated Response
Process parameters in Additive Manufacturing are typically held constant with time,TRUE,False
Time-invariant process parameters in Direct Laser Deposition (DLD) typically result in parts with an isotropic microstructure.,FALSE,False
The prediction of part features using process maps is always accurate.,FALSE,False
A process plan and fabrication of qualified parts are constrained and affected by the specifications and capabilities of different machine components.,TRUE,True
Material Properties are used to plan a process for an AM machine.,TRUE,True
Slicing and scanning are some examples of machine independent process parameters,FALSE,False
Material properties means to tensile strength and other metallurgical qualities.,TRUE,True
"Geometrical feature, undercut angle, and Material Properties of the model do not affect orientation determination.",FALSE,False
"For PBF, part orientation within the machine affect part accuracy.",TRUE,True.
"For PBF, accuracy in the build plane is determined by the positioning of the build mechanism involving gearboxes and motors.",TRUE,False
"For PBF, the optimal build orientation of the complex part is not challenging.",FALSE,False
A part model on a build plate is constrained by the Tessellated Model Set up Rules.,FALSE,True
Process planning rule is a subset of Tessellated Model Set up Rules.,FALSE,False
Tessellated Model Set up Rules and process planning rule are same,FALSE,False
"Identifying methods, plan a sequence of operations are discussed in process planning section in additive manufacturing.",TRUE,True
